"coffee"|"company"|"rating"|"city"|"state"|"origin"|"origin_country"|"region"|"roast"|"description"
"Guatemala El Diamante"|"Temple Coffee and Tea"|"94"|"Sacramento"|"California"|"San Pedro Necta, Huehuetenango growing region, Guatemala"|"Guatemala"|"CentralAmerica_Mexico"|"Medium-Light"|"Deep, round, sweet-toned, yet gently crisp. Distinct almond notes, milk chocolate, date-like fruit in aroma and cup. Rich, well-contexted acidity; full, syrupy mouthfeel. The fruit turns banana-like in a resonant finish."
"Kenya Karinga"|"Kickapoo Coffee"|"92"|"Viroqua"|"Wisconsin"|"South-central Kenya"|"Kenya"|"Africa"|"Medium"|"The dry, tartly sweet fruit sensation characteristic of the best Kenya coffees unfurls with pleasing, shape-shifting complexity: Melon, black currant, blackberry, tart orange, with floral and fresh-cut fir complications. Assertive but balanced acidity; lean mouthfeel. Smoothes out in a decidedly sweet, mango-toned finish."
"Honey Pot Espresso"|"Kuma Coffee"|"94"|"Seattle"|"Washington"|"Alto Quiel, Boquete, Panama"|"Panama"|"CentralAmerica_Mexico"|"Medium-Light"|"Evaluated as espresso. Rich, sweetly tart, very complex in the small cup: mandarin orange, layered suggestions of milk chocolate, apricot, brandy, fresh-cut fir, anise. Syrupy mouthfeel. The orange note turns ripe and sweet in the finish. Soft, delicate and impressively complex in two parts milk: chocolate-toned orange, apricot, a continued hint of fir."
"Ethiopia Tchembe"|"Temple Coffee and Tea"|"92"|"Sacramento"|"California"|"Southern Ethiopia"|"Ethiopia"|"Africa"|"Medium-Light"|"Unusual profile: intense night flowers and a banana-like fruit dominate, with complicating hints of brandy and cedar. Round, functional acidity; buttery mouthfeel. Flowers in particular carry into a long, deep, slightly drying finish."
"Tierras Altas Premium"|"Café Flor de Apia"|"90"|"Apia"|"Colombia"|"Risaralda Department, Colombia"|"Colombia"|"South_America"|"Medium-Dark"|"Delicately complex aroma and flavor. Floral top notes, distinct milk chocolate, a hint of cedar, with a clean fruit note that suggests pear in the aroma and lemon in the cup. Brisk acidity, silky mouthfeel. Flavor simplifies in a rich though drying finish."
"Dominican Republic Green Triangle"|"Equator Coffees & Teas"|"92"|"San Rafael"|"California"|"Lagulito, Dominican Republic"|"Dominican_Republic"|"Caribbean"|"Medium-Light"|"Balanced, sweetly crisp. Floral-toned peach and a tart, mandarin orange dominate, rounded by a backgrounded nut-toned chocolate. Brisk, sweet-toned acidity; silky mouthfeel. The chocolate suggestion carries into a clean finish."
"Kenya Rianjue AA"|"Temple Coffee and Tea"|"92"|"Sacramento"|"California"|"Kirinyaga East District, south-central Kenya"|"Kenya"|"Africa"|"Medium"|"Delicately bright, gently balanced: flowers, orange, fresh-cut fir, apple in aroma and cup, with a rounding hint of caramel. Light body but silky smooth mouthfeel. Flowers linger in a clean, sweet-toned, slightly drying finish."
"Peru La Prosperidad Special Reserve Fair Trade"|"Green Mountain Coffee Roasters"|"88"|"Waterbury"|"Vermont"|"Cajamarca growing region, Peru"|"Peru"|"South_America"|"Medium"|"Balanced, lyric coffee. Gently pungent fir rounded by fruit notes (blackberry, plum) in aroma and cup. Soft acidity; lively, lightly syrupy mouthfeel; sweet-toned, cocoaish finish. A very slight grassy or hay-like note emerges as the cup cools."
"Ka’u Coffee Natural Dried Red Caturra"|"Rusty's Hawaiian Coffee"|"90"|"Pahala"|"Hawaii"|"Ka'u growing district, southwestern corner of the ""Big Island"" of Hawaii"|"Hawaii"|"Hawaii"|"Medium"|"Brandy, mint, cocoa and apricot in a quiet but clean dried-in-the-fruit profile. Tart, apple-toned acidity; lightly syrupy mouthfeel. Some flavor persists in the simple, savory-sweet finish."
"Honduras Finca El Gringacho Yellow Catuai"|"OQ Coffee Co."|"90"|"New Brunswick"|"New Jersey"|"Santa Barbara, Honduras"|"Honduras"|"CentralAmerica_Mexico"|"Medium-Light"|"Ripe, balanced cup. Cocoaish chocolate, lemon, peach, a hint of fir in aroma and cup. Crisply delicate, rather juicy acidity; silky but lean mouthfeel. The dominant cocoa note carries into a slightly drying finish."
"Guatemala El Injerto Maragogype"|"Bird Rock Coffee Roasters"|"90"|"La Jolla"|"California"|"Huehuetenango growing region, Guatemala"|"Guatemala"|"CentralAmerica_Mexico"|"Light"|"Smooth, quietly complex: orange, walnut, raisin, honeyish flowers in aroma and cup. Softly crisp, sweet-toned acidity; lightly syrupy mouthfeel. The finish is sweetly rich, with a drying hint in the long."
"Nicaragua Yellow Catuai Viennese Roast"|"Las Chicas Del Café"|"90"|"London"|"Ontario"|"Madrid Department, Nicaragua"|"Nicaragua"|"CentralAmerica_Mexico"|"Medium"|"Pungent, deep, rich: gently scorched cedar, dark chocolate, hints of plum and moist, freshly fallen leaves. Roast-muted acidity; lightly syrupy mouthfeel. Dark chocolate in particular lingers in a long, resonant finish."
"Honduras Las Penitas II"|"Gimme! Coffee"|"91"|"Ithaca"|"New York"|"Santa Barbara, Honduras"|"Honduras"|"CentralAmerica_Mexico"|"Medium-Light"|"Pungent, sweetly tart: Cranberry, honey and nectarine-like stonefruit in an intense aroma rounded by a cocoaish dark chocolate in the cup. Rich, fruit-toned acidity; lightly syrupy mouthfeel. Fruit and cocoa in particular carry into a slightly dry finish."
"Organic Ethiopia Yirgacheffe Biloya"|"Badbeard's Microroastery"|"91"|"Portland"|"Oregon"|"Gedeo Zone, southern Ethiopia"|"Ethiopia"|"Africa"|"Medium-Light"|"Delicately complex: black tea, lemon-lime, spicy rose, moist pipe tobacco. Gently bright acidity; lean but silky mouthfeel. Flavor consolidates as cocoa in the crisp finish."
"Panama Finca La Valentiina Geisha"|"PT's Coffee Roasting Co."|"91"|"Topeka"|"Kansas"|"Horqueta, Volcan growing region, western Panama"|"Panama"|"CentralAmerica_Mexico"|"Medium-Light"|"Sweet-toned and honeyish with peach and floral notes balanced by tart fruit: cranberry, mandarin orange. Silky mouthfeel. The peach and floral sweetness dominates in the short finish, though a bracing, drying astringency that has been tracking through the cup all along emerges clearly in the long."
"Ethiopia Gedeo Microlot"|"Lone Pine Coffee Roasters"|"92"|"Bend"|"Oregon"|"Gedeo Zone, southern Ethiopia"|"Ethiopia"|"Africa"|"Medium-Light"|"Peachy, strawberryish fruit is balanced by pungent aromatic wood – cedar, pine – in both aroma and cup. Chocolaty hints. Sweet-toned, brandyish acidity; syrupy mouthfeel. Rich short finish; flavor fades in the long and a very slight salty hint emerges."
"Ethiopia Gedeo Natural Process"|"Coffea Roasterie"|"93"|"Sioux Falls"|"South Dakota"|"Gedeo Zone, southern Ethiopia"|"Ethiopia"|"Africa"|"Medium"|"Lushly sweet and honeyish but very complex across a range of sensation. On the sweet side, plum, blueberry and citrus flower; on the pungent, pine and tart lemon. A minty, brandyish dark chocolate fills in the middle. Balanced, juicy acidity; syrupy yet lively mouthfeel. Simplifies just a bit in the finish, though a chocolaty sweetness manages to soften a lean toward drying astringency in the long."
"El Salvado Finca Ayatepeque Natural-Processed Pacamara"|"Topeca Coffee Roasters"|"93"|"Tulsa"|"Oklahoma"|"Santa Ana Department, El Salvador"|"El_Salvador"|"CentralAmerica_Mexico"|"Light"|"Deep, very complex dried-in-the-fruit profile. Fresh fruit notes – tart coffee fruit, red apple, peach – are enveloped in a honeyish sweetness and deepened by suggestions of brandy, fir and just a hint of freshly fallen, composting leaves. Ripely balanced acidity; impressively syrupy mouthfeel. Clean, flavor-saturated finish."
"Nicaragua Bourbon City Roast"|"Las Chicas Del Café"|"93"|"London"|"Ontario"|"Madrid Department, Nicaragua"|"Nicaragua"|"CentralAmerica_Mexico"|"Medium"|"Soft, round, balanced. Quiet aroma: almond, apricot. In the cup complicates and deepens: honey, ripe lemon, cocoaish chocolate, continued almond and apricot. Crisp, juicy acidity; syrupy mouthfeel. Flavor carries persuasively into a sweet-toned finish."
"Guatemala Hanupu"|"Temple Coffee and Tea"|"93"|"Sacramento"|"California"|"Antigua growing region, Guatemala"|"Guatemala"|"CentralAmerica_Mexico"|"Medium"|"Delicately bright, honeyish, refreshing. Honey, violet-like flowers, sweetly tart berry in aroma and in cup, where a hint of cocoa complicates. Gently bright acidity; silky mouthfeel. Bittersweet, cocoa-toned finish."
"Panama Geisha Aroma Roast"|"Simon Hsieh's Aroma Roast Coffees"|"95"|"Taoyuan City"|"Taiwan"|"Chiriqui Province, Panama"|"Panama"|"CentralAmerica_Mexico"|"Medium"|"Deep, sweet night flowers, lemon and grapefruit and backgrounded cocoaish dark chocolate in aroma and cup. In the cup a savory hint emerges: bay leaves perhaps. Rich, resonant acidity; lightly syrupy mouthfeel. Rather dry but intensely flavor-saturated finish."
"Guatemala Pandora Pacamara Medium-Light Roast"|"Cafe de Impression"|"96"|"Kaohsiung City"|"Taiwan"|"Huehuetenango growing region, northwestern Guatemala"|"Guatemala"|"CentralAmerica_Mexico"|"Medium"|"Impressively complex in both structure (sweet, bitter, savory) and aromatics. Pungently rich aroma: black currant, grapefruit, cedar, roses. All carry into the cup, where the pungent, cedary citrus notes are enveloped in almost sugary sweetness. Gently bright acidity; the mouthfeel is lightish in weight but impressively silky in texture. Flavor, particularly sweet citrus, carries deeply into the finish."
"Medium Roast Yellow Bourbon Pulped Natural"|"Carvalho Coffee"|"91"|"Oakville"|"Ontario"|"Mogiana growing region, Sao Paulo State, south-central Brazil"|"Brazil"|"South_America"|"Medium-Dark"|"Richly pungent in aroma and cup: grapefruit, freshly fallen moist leaves, cedar. Mouthfeel is medium in weight but rather lean. Gentle, floral-citrus-toned acidity. The citrus is ripe and sweet in the short finish turning rather zesty in the long."
"Colombia Tolimas"|"Turnstile Coffee Roasters"|"95"|"Belmar"|"New Jersey"|"Tolima Department, central Colombia"|"Colombia"|"South_America"|"Medium"|"Classically pure, brightly balanced profile. Honey, flowers, ripe lemon, with a rounding hint of cocoa in aroma and cup. Sweet, juicy acidity; syrupy mouthfeel. Flavor may fade a bit in the finish but the poised, complete structure of the coffee rings on."
"Kenya Nyeri AB Gichatha-ini Signature Series"|"Wood-Fire Roasted Coffee"|"97"|"Reno"|"Nevada"|"Nyeri, Kenya"|"Kenya"|"Africa"|"Medium"|"Pure, complete, resonantly complex. Rich, grapefruity citrus, peach, honeyish flowers in aroma and cup. Ripely citrusy acidity; silky mouthfeel. Honey in particular carries into a long, resonantly flavor-saturated finish."
"Kenya AA Nyeri Ndiaini Espresso"|"JBC Coffee Roasters"|"92"|"Madison"|"Wisconsin"|"Nyeri County, Kenya"|"Kenya"|"Africa"|"Medium-Dark"|"Evaluated as espresso. Intense, multidimensional citrus in the aromatics: layered suggestions of grapefruit, lemon, lime. Light but buoyant mouthfeel. Lively in the short cup: cranberry, lime zest, chocolate and cedar carry into a dryish finish. Balanced and sweet in two parts milk: more sweet citrus and a hint of toasted almond."
"Ethiopia Yirgacheffe Koke Coop FTO"|"JBC Coffee Roasters"|"92"|"Madison"|"Wisconsin"|"Yirgacheffe growing region, southern Ethiopia"|"Ethiopia"|"Africa"|"Medium"|"Evaluated as espresso. Fresh-cut fir, cedar and orange-like citrus in the delicate aroma. Lightly syrupy body. Intense flavor: fresh-cut fir persists, complicated by a caramelly milk chocolate and a brisk walnut. Flavor carries well into a complex, resonant finish. Balanced in two parts milk; the fir sweetens and a suggestion of lemon emerges."
"Guatemala Quiche Chajulense FTO Espresso"|"JBC Coffee Roasters"|"91"|"Madison"|"Wisconsin"|"Quiche Department, Guatemala"|"Guatemala"|"CentralAmerica_Mexico"|"Medium"|"Evaluated as espresso. Rich aromatics: ripe red apple, caramel and rose-like flowers carry from the aroma into the short cup where they are deepened and complicated by hints of dark chocolate and fir. Creamy mouthfeel. Flavor mutes but gently persists in two parts milk."
"100% Colombian"|"Folgers"|"75"|"Orrville"|"Ohio"|"Colombia"|"Colombia"|"South_America"|"Dark"|"Disappointing for a 100% Colombian Arabica, even a Colombia presented in a roast-and-ground, canned format. Woody aroma with some pruny sweetness. Flat acidity, leanish mouthfeel. In the cup the wood persists and the fruit turns composty and unpleasantly fermented. Flat, astringent finish."
"Africa Kitamu"|"Starbucks Coffee"|"83"|"Seattle"|"Washington"|"East Africa"|"East_Africa"|"Africa"|"Dark"|"Notes:"
"Guatemala Alotenango La Candelaria Espresso"|"JBC Coffee Roasters"|"90"|"Madison"|"Wisconsin"|"Alotenango, Guatemala"|"Guatemala"|"CentralAmerica_Mexico"|"Medium"|"Evaluated as espresso. Sweet-toned, pleasing but simple aromatics: roasted almond, lemon, grape. Buttery mouthfeel. Dry plum, lemon/lime-like citrus and anise carry from the small cup into finish. Continued hints of lemon and anise in a well-balanced, two-part milk drink."
"Panama Elida Estate"|"Kuma Coffee"|"95"|"Seattle"|"Washington"|"Alto Quiel, Boquete, Panama"|"Panama"|"CentralAmerica_Mexico"|"Medium-Light"|"Richly bright with a deeply expressed acidity: tart berry, black currant, dusk-blooming flowers. Pungently sweet acidity: silky mouthfeel. Very long, deep, resonant finish."
"El Salvador Nombre de Dios"|"Kuma Coffee"|"94"|"Seattle"|"Washington"|"Chalatenango, El Salvador"|"El_Salvador"|"CentralAmerica_Mexico"|"Medium-Light"|"Fresh, naturally sweet, dominated by floral and honey notes anchored by a complicating hint of fresh-cut fir. The acidity is giddily and sweetly bright; the mouthfeel lively and somewhere between silky and creamy in texture. Long, resonant finish."
"Ethiopia Yirgacheffe Kochere"|"Kuma Coffee"|"93"|"Seattle"|"Washington"|"Kochere District, southern Ethiopia"|"Ethiopia"|"Africa"|"Medium"|"High-toned, giddy and bright: lavender, lime zest, baker’s chocolate in aroma and cup. Crisply sweet-toned acidity; silky mouthfeel. The lime notes turn ripely sweet in the flavor-saturated finish."
"Colombia Finca San Luis Organic"|"Gimme! Coffee"|"91"|"Ithaca"|"New York"|"Libano, Tolima Department, Colombia"|"Colombia"|"South_America"|"Medium-Light"|"Crisply assertive yet delicate. Nectarine-like stonefruit, tea rose and lime zest carry into the cup, complicated by fresh-cut fir and sweet, plummy fruit notes. Floral-toned acidity; buoyantly silky mouthfeel. More flowers and tart stone fruit in the finish."
"Guatemala El Injerto"|"Kuma Coffee"|"90"|"Seattle"|"Washington"|"Huehuetenango growing region, Guatemala."|"Guatemala"|"CentralAmerica_Mexico"|"Medium"|"Plum, cedar, almond, a hint of milk chocolate in intense aroma and roundly rich cup. Bright but balanced acidity; lively, lightly syrupy mouthfeel. Sweet but slightly tight finish."
"Panama Elida Estate Natural Process"|"Kuma Coffee"|"94"|"Seattle"|"Washington"|"Alto Quiel, Boquete, Panama"|"Panama"|"CentralAmerica_Mexico"|"Medium-Light"|"Sweet-toned, grapy wine and plum-like fruit are anchored by a pungent hint of cedar in aroma and cup. Richly tart acidity; lightly syrupy mouthfeel. Deeply layered, flavor-saturated finish shows just a hint of bitterness and salt in the long, though sweetness and flavor ultimately prevail."
"Panama Elida: The Seasonal Tripel"|"Oak Cliff Coffee Roasters"|"92"|"Dallas"|"Texas"|"Boquete growing region, western Panama"|"Panama"|"CentralAmerica_Mexico"|"Medium-Light"|"A sweet and very complex coffee. A discreetly fermenty, brandy-toned chocolate dominates, rounded and complicated by brighter and crisper notes: strawberry, grapefruit and an almond-like nut note that under the impact of the essential sweetness of the coffee reads as lush marzipan. Remains rich and sweet in the finish, though simplifies a bit."
"Bali Kintamani Organic Rainforest Alliance"|"Lexington Coffee Roasters"|"91"|"Lexington"|"Virginia"|"Kintamani, Bali, Indonesia"|"Indonesia"|"Asia_Indonesia"|"Light"|"Notes:"
"Ethiopia Sidamo Ardi"|"BeanFruit Coffee Company"|"89"|"Jackson"|"Mississippi"|"Guji Zone, Oromia Region, Sidama Province, Ethiopia"|"Ethiopia"|"Africa"|"Medium"|"Deep, sweet-toned aroma: dark chocolate, rich cedar, apricot-like fruit, lily-like flowers. Rich though slightly rough acidity; impressively full, syrupy mouthfeel. The complex aromatics simplify a bit in the cup, but retain depth and resonance. Long though rather dry and piney finish."
"Ethiopia Yirgacheffe Kochere Micro-lot"|"Paradise Roasters"|"92"|"Ramsey"|"Minnesota"|"Southern Ethiopia"|"Ethiopia"|"Africa"|"Medium"|"Intense aroma and flavor, with spicy, jasmine-like flowers, zesty lime and a hint of sweet cocoa. Crisply delicate acidity; smooth, silky mouthfeel. Flavor carries deep into a tart, rather bittersweet finish."
"Bluekoff Single Origin Thai Espresso Blend (A4+A5)"|"Bluekoff Company"|"90"|"Bangkok"|"Thailand"|"Mae Suay, Chiang Rai, northern Thailand"|"Thailand"|"Asia_Indonesia"|"Medium-Dark"|"Evaluated as espresso. Sweet-toned aroma: chocolate, nut, cherry. In the small cup buttery mouthfeel with excellent depth and balance; the chocolate turns caramelly and the fruit toward a zesty orange, both supported by a pungent cedar. In the finish good flavor persistence but slightly bitterish. Maintains flavor with authority in two parts milk: rich, pungent, with hints of continued orange, cedar and chocolate."
"Costa Rica Tarrazu Montecielo"|"Café Britt"|"89"|"Heredia"|"Costa Rica"|"Tarrazu growing region, Costa Rica"|"Costa_Rica"|"CentralAmerica_Mexico"|"Medium-Dark"|"Deep, rich aromatics and flavor: smoky cedar, vanilla-toned dark chocolate, prune- and orange-toned fruit. Muted acidity; lightly syrupy mouthfeel. Some dark-chocolate sweetness carries into the long finish."
"Costa Rica Export Reserve, Light Roast"|"Café Britt"|"89"|"Heredia"|"Costa Rica"|"Costa Rica"|"Costa_Rica"|"CentralAmerica_Mexico"|"Medium-Dark"|"Suggestions of dark chocolate, smoky cedar, orangy citrus in aroma and cup. Round, gently roast-muted acidity; leanish but smoothly silky mouthfeel. Clean, cocoa-toned finish."
"Kenya Karinga"|"Water Avenue Coffee Company"|"95"|"Portland"|"Oregon"|"Rwafura Region, central Kenya"|"Kenya"|"Africa"|"Medium"|"Balanced, sweet-toned, pungent. Tart berry – strawberry, cranberry – cedar and multidimensional sweet and tart citrus in both aroma and cup. Smoothly rounded acidity; slightly syrupy, almost creamy mouthfeel. Bittersweet chocolate and citrus zest in the finish."
"Ethiopia Sidamo Guji"|"Lexington Coffee Roasters"|"94"|"Lexington"|"Virginia"|"Sidama growing region, Ethiopia"|"Ethiopia"|"Africa"|"Medium-Light"|"Remarkably clean-finishing dried-in-the-fruit profile. Opulently sweet but crisp: roses, nut, cocoa, molasses, black tea. Balanced, well-integrated acidity; lightly syrupy mouthfeel. Extraordinarily rich, sweet-toned, densely flavor-saturated finish."
"Sumatra Mandheling Fair Trade Organic"|"Lexington Coffee Roasters"|"91"|"Lexington"|"Virginia"|"Northern Sumatra, Indonesia"|"Indonesia"|"Asia_Indonesia"|"Medium-Light"|"Moist composting leaves (or maybe moist, composting rose petals) layered with a fermenty, brandyish dark chocolate in this richly pleasing but slightly bitterish traditional Sumatra. Gently tart, floral-toned acidity; silky/syrupy mouthfeel."
"Organic Bali Kintamani Highlands"|"Wicked Joe"|"89"|"Brunswick"|"Maine"|"Kintamani, Bali, Indonesia"|"Indonesia"|"Asia_Indonesia"|"Medium"|"Brandy, cherry and cedar with a backgrounded, minty dark chocolate in aroma and cup. Rich, sturdy acidity; syrupy mouthfeel. The finish is sweet and flavor-saturated, but reveals a very slight soapy, composty edge."
"Resiprocate FTO Ethiopia Yirgacheffe Medium Roast"|"Canterbury Coffee"|"89"|"Richmond"|"British Columbia"|"Yirgacheffe growing region, southern Ethiopia"|"Ethiopia"|"Africa"|"Medium-Dark"|"Muted hints of sweet fruit and flowers dominate in the aroma. More intensity in the cup: Richly rounded acidity, fullish if lean-textured mouthfeel; flowers, nut, honey, complex chocolate. Continuing hints of flowers and dark chocolate carry into a short but pleasing finish."
"Organic El Salvador Las Lajas"|"Uncle Beanz"|"90"|"Perth Amboy"|"New Jersey"|"Coatepeque, El Salvador"|"El_Salvador"|"CentralAmerica_Mexico"|"Medium-Light"|"Very sweet and honeyish. Almondy nut, crisp baker’s chocolate, peach- and apricot-toned fruit in aroma and cup. Roundly gentle acidity; impressively smooth, lightly syrupy mouthfeel. The sweetness carries decisively into the finish, though a slight bitterish astringency shadows the long."
"Organic Ethiopia Gedeo Worka (Natural-Processed)"|"Olympia Coffee Roasting"|"91"|"Olympia"|"Washington"|"Yirgacheffe growing region, southern Ethiopia"|"Ethiopia"|"Africa"|"Medium"|"Rich, minty dark chocolate, plummy fruit, hints of brandy and cedar in aroma and cup. Round, low-toned acidity; impressively syrupy mouthfeel. Richly flavor-saturated but slightly salty/astringent in the finish."
"Ethiopia Sidamo Oromia FTO"|"Bard Coffee"|"91"|"Portland"|"Maine"|"Sidama (also Sidamo) growing region, southern Ethiopia"|"Ethiopia"|"Africa"|"Medium"|"Dark chocolate dominates aroma and cup, with complications of flowers, apricot-like fruit, walnut, fresh-cut cedar. Gentle, roast-muted acidity; lightly syrupy mouthfeel. Rich, walnutty, rather dry finish."
"Costa Rica Finca Santa Lucia Organic"|"Bird Rock Coffee Roasters"|"91"|"La Jolla"|"California"|"Central Valley, Costa Rica"|"Costa_Rica"|"CentralAmerica_Mexico"|"Medium-Light"|"Quiet, deep aroma and flavor with suggestions of nut-toned chocolate, peach and sweet melon. Additional complications of black tea and cedar in the cup. Rich lemony acidity; lightly syrupy mouthfeel. Fruit notes in particular carry into a complex, tartly sweet finish."
"Guatemala Quiche Chajulense Fair Trade Organic"|"JBC Coffee Roasters"|"91"|"Madison"|"Wisconsin"|"Quiche Department, Guatemala"|"Guatemala"|"CentralAmerica_Mexico"|"Medium-Light"|"Low-toned, with pungent earthy and cedary notes supporting tart citrus and strawberry. Rich acidity; syrupy but lively mouthfeel. Sweet-toned and deep in the finish."
"Ethiopia Sidama Union Fair Trade Organic"|"Bard Coffee"|"92"|"Portland"|"Maine"|"Sidama growing region, southern Ethiopia"|"Ethiopia"|"Africa"|"Medium-Light"|"Intense, high-toned aroma: rose-like flowers, nut-toned cocoa, orangy citrus. All carry into the cup, where the citrus turns lemony and zesty. Crisp, balanced acidity; silky mouthfeel. A rather juicy version of the citrus dominates in a long, resonant finish."
"Café Tierra Ethiopia Yirgacheffe Fair Trade Organic"|"Coffee Bean International"|"92"|"Portland"|"Oregon"|"Yirgacheffe growing region, southern Ethiopia"|"Ethiopia"|"Africa"|"Medium-Light"|"Bright, delicate coffee alive with flowers, lemon, cocoa and a slightly pungent melon-like note. Gentle, brisk acidity; light but silky smooth mouthfeel. Lemon and cocoa in particular carry into the rich, sweet-toned finish."
"Organic Ethiopia Worka Coop Natural Process"|"Kickapoo Coffee"|"92"|"Viroqua"|"Wisconsin"|"Yirgacheffe growing region, southern Ethiopia"|"Ethiopia"|"Africa"|"Medium-Light"|"Deeply and dramatically complex aroma and flavor: Pineapple- and berry-like fruit, milk chocolate, hints of brandy and mint. Richly bright acidity; very smooth, silky/syrupy mouthfeel. The finish is saturated with flavor, particularly with the minty brandy notes. Turns savory as the cup cools, perhaps a bit bitter; otherwise this would be a 94-rated coffee."
"Organic Costa Rica Las Lajas Natural Process"|"Doma Coffee Roasting"|"93"|"Post Falls"|"Idaho"|"Central Valley, Costa Rica"|"Costa_Rica"|"CentralAmerica_Mexico"|"Medium"|"Very sweet; delicate but lush. Minty milk chocolate and apricot- and peach-like fruit in aroma and cup. Softly bright acidity; smoothly silky, lively mouthfeel. Round, gently resonant finish."
"Estate of Kenya"|"The Roasterie"|"90"|"Kansas City"|"Missouri"|"Nyeri District, Kenya"|"Kenya"|"Africa"|"Medium-Dark"|"Darkish roast influences the distinctive profile without dominating it: Deep, sweetly pungent aroma with hints of flowers, lemon, berry, cedar. Lemony, roast-muted acidity; lightly syrupy mouthfeel. Aromatics deepen in the cup, with the cedar moving forward, the flowers turning toward a spicy rose and the berries turning lightly chocolaty. Rich finish with good flavor saturation."
"Honduras El Cielito Single Origin Espresso"|"Bard Coffee"|"90"|"Portland"|"Maine"|"Santa Barbara Department, Honduras"|"Honduras"|"CentralAmerica_Mexico"|"Medium"|"Evaluated as espresso. Very sweet-toned, gently bright aroma: sweet cocoa, pineapply fruit. In the small cup lean but silky mouthfeel, with the fruit and cocoa notes deepened and enriched by hints of wine, cedar and leather. In two parts milk a sweet chocolate dominates complicated by gently tart fruit."
"Ethiopia Nigusie Lemma Natural Processed Single Origin Espresso"|"JBC Coffee Roasters"|"93"|"Madison"|"Wisconsin"|"Limmu Kossa District, Jimma Zone, Oromia State, Ethiopia"|"Ethiopia"|"Africa"|"Medium-Dark"|"Evaluated as espresso. Intense aroma: semi-sweet chocolate, rose-like flowers, sweet cherry. All carry into a cup complicated by pungent citrus and aromatic wood. Syrupy mouthfeel. The chocolate and rose notes linger in a complex finish. Strong presence in two parts milk: dry, lemony and dark-chocolate-toned. Begins to soften and sweeten toward toffee in three parts milk."
"Guatemala Santa Isabel Natural Process SO Espresso"|"The WestBean Coffee Roasters"|"92"|"San Diego"|"California"|"Santa Rosa Department, Guatemala"|"Guatemala"|"CentralAmerica_Mexico"|"Medium-Dark"|"Evaluated as espresso. Elegantly sweet aroma and flavor in the short cup suggests evening flowers, almond-like nut, dark chocolate and a nectarine-like stone fruit. The stone fruit develops a bright, citrusy edge in the cup. Lively, lightly syrupy mouthfeel; citrus and chocolate carry into the finish. Pronounced presence in two parts milk; the citrus and chocolate character show up with particular clarity."
"Honduras Santa Barbara"|"Bard Coffee"|"90"|"Portland"|"Maine"|"Southern Honduras"|"Honduras"|"CentralAmerica_Mexico"|"Medium"|"Tart berry notes, pungent fir, and an enveloping cocoa sweetness in both aroma and cup. Zesty, delicate acidity; silky mouthfeel. The sweet cocoa carries into a roundly balanced finish with a slight savory edge."
"Ethiopia Natural Sidamo Korate Gr. 3 Organic"|"Caffé Artigiano Taiwan"|"89"|"Kao-Shung"|"Taiwan"|"Sidama growing region, southern Ethiopia"|"Ethiopia"|"Africa"|"Medium-Light"|"Musty, mildewed notes read persuasively as sweet, freshly turned earth, strawberry-like fruit and fresh-cut fir. Soft, round acidity; lightly syrupy mouthfeel. The strawberry-like sweetness manages to outlast a mild drying astringency in the finish."
"Kenya Gichathaini"|"Kickapoo Coffee"|"92"|"Viroqua"|"Wisconsin"|"Nyeri County, Central Highlands, Kenya"|"Kenya"|"Africa"|"Medium-Light"|"Gently pungent in aroma and cup: cedar, grapefruit, lemon, with rounding hints of dark chocolate. Round, rich acidity; lively, lightly syrupy mouthfeel. Flavor carries deeply into a long, sweet finish."
"Kenya Gichathaini"|"Heart Coffee Roasters"|"92"|"Portland"|"Oregon"|"Nyeri County, Central Highlands, Kenya"|"Kenya"|"Africa"|"Light"|"Rich, deeply and sweetly expressed acidity dominates, nuanced by suggestions of grapefruit, tart pie cherry, fresh-cut fir and perhaps a rounding hint of table grape. Syrupy mouthfeel. Grapefruity citrus in particular carries into a sweet finish."
"Kenya Thika Chania Estate Natural Process"|"Victrola Coffee Roasters"|"92"|"Seattle"|"Washington"|"Thika growing region, central Kenya"|"Kenya"|"Africa"|"Medium"|"Rich, brandy-like fruit dominates the profile: cherry, blueberry, cocoaish dark chocolate in aroma and cup. Round, fruit-influenced acidity; syrupy mouthfeel. Flavor carries richly into the finish, where a very slight over-ripe note emerges as the cup cools."
"Kenya AA Kangocho"|"Equator Coffees & Teas"|"92"|"San Rafael"|"California"|"Nyeri County, Central Highlands, Kenya"|"Kenya"|"Africa"|"Medium"|"Complex layers of fruit in aroma and cup: strawberry, cherry, orange, deepened and complicated by a pungent cedar. Rich, round acidity; soft, lightly syrupy mouthfeel. Some flavor carries into a long, resonantly sweet finish."
"Kenya AA Karogoto Microlot"|"Willoughby's Coffee & Tea"|"92"|"Branford"|"Connecticut"|"Nyeri County, Central Highlands, Kenya"|"Kenya"|"Africa"|"Medium"|"Delicately complex: almond, orange, peach, a hint of milk chocolate in aroma and cup. Crisp, balanced acidity; smoothly silky mouthfeel. Sweet, flavor-saturated finish with a distinct peach-toned chocolate emerging in the long."
